split,sample_id,location,selected,category,figure,iou_water_5sa,iou_water_v3,delta_iou_water,f1_water_5sa,f1_water_v3,viol_frac_5sa,viol_frac_v3,delta_viol_frac,viol_pairs_5sa,viol_pairs_v3,desc_pairs,water_frac_5sa,water_frac_v3
test,Sri-Lanka_377277,Sri-Lanka,False,,,0.5153457653457654,0.4703030303030303,-0.045042735042735094,0.6801692090757595,0.6397361912613356,0.001092747699323087,0.000773783506007159,-0.0003189641933159281,555,393,507894,0.026982743997409287,0.02295017502737212
test,Sri-Lanka_117737,Sri-Lanka,False,,,0.24926537643124938,0.23487616727568006,-0.014389209155569321,0.39905912888312106,0.3804044057208614,0.002545801350582227,0.00224007445122983,-0.00030572689935239733,1324,1165,520072,0.02135467529296875,0.020732879638671875
test,India_828067,India,False,,,0.488420590495006,0.46245516603031356,-0.025965424464692466,0.656293783644274,0.6324367088607594,0.0014848473007597282,0.0011806210680852726,-0.00030422623267445555,532,423,358286,0.035861730013106156,0.03083224115334207
valid,India_869358,India,False,,,0.32374200722824575,0.30818375418314575,-0.015558253045100001,0.4891315761839756,0.4711627906976744,0.001441692915574693,0.001140701176551785,-0.000300991739022908,752,595,521609,0.017063140869140625,0.01354217529296875
test,Spain_7370579,Spain,False,,,0.6991220446999576,0.6900775056074974,-0.00904453909246028,0.82292151629804,0.8166223185834894,0.0070523264263368446,0.006752105371853416,-0.0003002210544834289,3688,3531,522948,0.3147093056536091,0.31357209639565725
valid,India_118868,India,False,,,0.23493633930743654,0.21374989695820626,-0.021186442349230283,0.38048332019963227,0.352214072262972,0.0022727483557361387,0.0019728074162716413,-0.00029994093946449736,735,638,323397,0.02741939462713077,0.024311123171423636
test,Spain_6095801,Spain,False,,,0.564060855420534,0.5499480046795788,-0.01411285074095514,0.7212773767282515,0.7096341335569767,0.00428657739165016,0.003990226144680591,-0.0002963512469695692,2242,2087,523028,0.10036556234784134,0.09524082087444956
valid,Mekong_1149855,Mekong,False,,,0.6198409525078857,0.5851116402354104,-0.03472931227247533,0.7653108801184828,0.7382592183204376,0.0036235379641325833,0.003334103662353572,-0.0002894343017790114,1615,1486,445697,0.08542320097875654,0.08018240462684907
valid,Spain_8372658,Spain,False,,,0.8351377161713676,0.8324789245841877,-0.002658791587179854,0.9101635357521923,0.9085822635292656,0.004440432798773048,0.004155495465862978,-0.00028493733291007003,2322,2173,522922,0.38538482381721106,0.38133947005865765
valid,India_533192,India,False,,,0.8394148465171193,0.8341621221924392,-0.005252724324680047,0.9126976963424296,0.9095838498674649,0.005039547714237632,0.004762099690258845,-0.0002774480239787864,1108,1047,219861,0.37440576088483407,0.3707682412000858
