split,tile_idx,d8_vf_gt_w,d8_vf_pred_w,d8_H_R_w,d8_H_R_uw,d8_E_gt,d8_E_yhat,d8_E_soft,d8_dE_w,d8_n_active,d4_vf_gt_w,d4_vf_pred_w,d4_H_R_w,d4_E_gt,d4_E_yhat,d4_dE_w,d4_n_active
test,19,0.0020952873946207392,0.00011429341006135127,-0.001980993984559388,-0.0032235108572307688,0.0018909968084937592,0.00010314979107426337,1.1174724232113541e-06,-0.0017878470174194957,259965,0.0014657793140766871,8.016348910677304e-05,-0.0013856158249699142,0.0013228658054962891,7.234754678930274e-05,-0.0012505182587069863,522488
test,20,0.009771601400238085,0.005177253330938875,-0.00459434806929921,-0.004384724186704282,0.008818870433092721,0.004672470686902566,0.0003466820966222166,-0.004146399746190155,42420,0.006987655216039303,0.0035546710128593747,-0.0034329842031799286,0.006306358863969004,0.0032080903531803524,-0.0030982685107886513,85499
test,21,0.001208984945640724,0.0006860873338396833,-0.0005228976118010406,-0.0013772782948843067,0.0010911089591088272,0.0006191938092363238,2.650513147130231e-05,-0.00047191514987250346,177161,0.001079984527843293,0.0005897076542783655,-0.0004902768735649274,0.0009746860145291338,0.0005322111364300678,-0.000442474878099066,358286
test,22,0.0115240737190259,0.004218358326668361,-0.00730571539235754,-0.006878008200130693,0.010400475263773596,0.0038070682594497883,0.0002129910548855595,-0.006593407004323808,201948,0.009443057851081136,0.003583425239137699,-0.005859632611943437,0.00852235938349465,0.003234041374205007,-0.005288318009289642,410396
test,23,0.0036458738037807906,0.0010109980374625393,-0.002634875766318251,-0.005470185855817617,0.0032904011917710757,0.0009124256697507686,4.706066611214618e-05,-0.0023779755220203072,183906,0.002926548629414144,0.0009475280863815048,-0.001979020543032639,0.0026412101238280157,0.0008551440918108761,-0.0017860660320171396,372377
test,24,0.017151541129518964,0.002001060963109283,-0.015150480166409682,-0.011426860081072028,0.015479264847558618,0.0018059572512485892,4.521600855282668e-05,-0.013673307596310028,237073,0.016701453955935818,0.002357825029871582,-0.014343628926064236,0.015073061527536749,0.002127936941236922,-0.012945124586299827,477152
test,25,0.00010992014933502447,4.289550706208329e-05,-6.702464227294119e-05,-0.00012384943871434313,9.92029349191704e-05,3.871319420956162e-05,1.3983640590676203e-06,-6.0489740709608784e-05,201858,7.56938951412952e-05,3.60089413504062e-05,-3.9684953790889e-05,6.831373919844068e-05,3.2498068387581134e-05,-3.5815670810859546e-05,406674
test,26,0.002015653285228608,0.0003215207182447065,-0.0016941325669839018,-0.0019178384008332237,0.0018191270809057663,0.0002901724538072783,6.721657573508346e-06,-0.001528954627098488,199704,0.0018520698344084777,0.0003002456290566443,-0.0015518242053518335,0.0016714929881915133,0.00027097167482908823,-0.001400521313362425,402426
test,27,0.0007273270821954378,1.734185237583505e-05,-0.0007099852298196027,-0.0006111059865326054,0.0006564126171303867,1.5651020489584486e-05,4.977440357248442e-07,-0.0006407615966408022,260184,0.0008746351706626673,3.76474370562813e-05,-0.000836987733606386,0.0007893582006058466,3.3976810421478e-05,-0.0007553813901843686,523150
test,28,0.0007326951176628831,5.1506588513342e-05,-0.0006811885291495411,-0.0018269286952456935,0.0006612573329089108,4.6484695651958954e-05,5.602898956448129e-07,-0.0006147726372569518,256715,0.0005949334276508733,7.205695298333656e-05,-0.0005228764746675367,0.0005369273843190713,6.50313988973201e-05,-0.0004718959854217512,515466
test,29,0.00013547201548421524,0.0,-0.00013547201548421524,-0.00033861652063829086,0.00012226348680318406,0.0,2.6910683613578167e-08,-0.00012226348680318406,259881,0.00012150724092228622,0.0,-0.00012150724092228622,0.00010966027979836215,0.0,-0.00010966027979836215,522597
test,30,0.0003129347828933428,9.603016920540863e-06,-0.0003033317659728019,-0.0002886731858694463,0.00028242361135103573,8.666722995121343e-06,1.9434364567427866e-07,-0.0002737568883559144,221704,0.0002794133109488022,1.3471651230766733e-05,-0.00026594165971803547,0.00025217050396587453,1.2158164899701596e-05,-0.00024001233906617293,444291
test,31,0.0015305929269489166,0.0001534120245180082,-0.0013771809024309084,-0.0009353911939600416,0.0013813601593786573,0.00013845434538932257,8.384462700335543e-06,-0.0012429058139893348,239472,0.001660530296852638,0.0001702157321546906,-0.0014903145646979474,0.001498628515393007,0.00015361969805088226,-0.0013450088173421247,480039
test,32,0.00016021558892539772,5.7623617453136635e-05,-0.00010259197147226108,-0.0002604437962287693,0.00014459456359706247,5.200531330929342e-05,1.220899261902171e-07,-9.258925028776904e-05,57594,0.00016401918620488696,3.6963102130291134e-05,-0.00012705608407459582,0.00014802731285266363,3.335919625752029e-05,-0.00011466811659514334,116172
test,33,0.0031676960369318883,0.0005462081417674286,-0.0026214878951644595,-0.004720974747846551,0.0028588457100794133,0.0004929527964973662,2.108719336244011e-05,-0.0023658929135820473,217328,0.003131388519398945,0.0005987125373530451,-0.0025326759820458998,0.0028260779907742666,0.0005403380591654333,-0.0022857399316088332,437887
test,34,0.00012109078161745795,0.0,-0.00012109078161745795,-0.0001755919080715101,0.00010928442802083089,0.0,0.0,-0.00010928442802083089,244886,0.00012612270693612327,0.0,-0.00012612270693612327,0.00011382574592217375,0.0,-0.00011382574592217375,491894
test,35,0.0,0.00017829670742760336,0.00017829670742760336,0.0002647533822244544,0.0,0.0001609127773106778,7.374250323765776e-07,0.0001609127773106778,75542,0.0,0.00013266483451549488,0.00013266483451549488,0.0,0.00011973000477584273,0.00011973000477584273,153245
test,36,1.881492160258399e-06,6.39375717131224e-05,6.2056079552864e-05,0.00019544928905320787,1.6980466021941753e-06,5.770365628939982e-05,1.5299397956547709e-06,5.6005609687205646e-05,61397,1.722603536929076e-05,3.203949594034399e-05,1.4813460571053232e-05,1.5546497243665334e-05,2.8915643024634133e-05,1.3369145780968799e-05,124111
test,37,0.00023294021253002708,0.00335990569450598,0.003126965481975953,0.003110864217125609,0.00021022853424385737,0.0030323145857664023,3.7640690952725243e-06,0.002822086051522545,189015,0.0002651219802398726,0.0028213824268962864,0.002556260446656414,0.00023927259489220481,0.0025462974820511576,0.0023070248871589526,380983
test,38,0.004099384973229919,0.0,-0.004099384973229919,-0.002320167550354634,0.0036996949535359177,0.0,4.783916305613351e-09,-0.0036996949535359177,256878,0.002665546405354488,0.0,-0.002665546405354488,0.002405655553704939,0.0,-0.002405655553704939,518771
