condition,condition_label,seed,img_idx,tile_id,iou_water,f1_water,precision_water,recall_water,accuracy,pred_water_ratio,gt_water_ratio
ce,CE,2,4,Ghana_319168,0.000153374233126482,0.0003067013954867857,0.000153374233126482,0.9999999000000099,0.9566950317855698,0.04331161109893249,6.642885137873081e-06
ce,CE,2,5,Ghana_359826,0.3994520749436456,0.5708691992812542,0.4454948119582383,0.7944489139150352,0.8138991607167726,0.27785786321913086,0.15581144911598968
ce,CE,3,0,Ghana_1078550,0.7946286682890279,0.8855632784086701,0.926101987896882,0.8484248628447247,0.9119633956641212,0.36781452592617825,0.4014896056859339
ce,CE,3,1,Ghana_141271,0.8391413180848135,0.9125359361436417,0.9556265109058063,0.8731638183634933,0.889749972667341,0.601840093518464,0.6586786311991725
ce,CE,3,2,Ghana_167233,0.0,0.0,0.0,0.0,0.9940650888702263,0.0,0.005934911129393307
ce,CE,3,3,Ghana_313799,0.8777721774082942,0.9349080161163442,0.9780960404243457,0.8953727506311648,0.9953694642417639,0.03399863470801369,0.03713976102616491
ce,CE,3,4,Ghana_319168,0.0,0.0,0.0,0.0,0.9999933571141978,0.0,6.642885137873081e-06
ce,CE,3,5,Ghana_359826,0.4038556366956962,0.5753520394789184,0.5301787916136554,0.6289402472002159,0.8553448010615785,0.18483593246992996,0.15581144911598968
ce,CE,42,0,Ghana_1078550,0.7454533131492546,0.8541658080549546,0.787550421269333,0.933092019679506,0.8720778409790614,0.4756860474357664,0.4014896056859339
ce,CE,42,1,Ghana_141271,0.8860229144370058,0.9395674469318352,0.9381651306068676,0.9409740620385584,0.9202696224776842,0.6606507606785135,0.6586786311991725
ce,CE,42,2,Ghana_167233,0.0,0.0,0.0,0.0,0.9940650888702263,0.0,0.005934911129393307
ce,CE,42,3,Ghana_313799,0.44184430027547583,0.6128876317775042,0.4457690509557867,0.9804627249231304,0.9540001623069835,0.0816883792647473,0.03713976102616491
ce,CE,42,4,Ghana_319168,0.000279329608930745,0.0005585031555275481,0.000279329608930745,0.9999999000000099,0.9762251140909037,0.02378152879358563,6.642885137873081e-06
ce,CE,42,5,Ghana_359826,0.4708526439207358,0.6402444312122068,0.665627343408195,0.6167263950829491,0.8920100052984257,0.14436461223768854,0.15581144911598968
dice_ce,Dice+CE,0,0,Ghana_1078550,0.8076694948015378,0.8936030086638722,0.9016813496835905,0.885668231432369,0.9153240914189682,0.3943594809087503,0.4014896056859339
dice_ce,Dice+CE,0,1,Ghana_141271,0.8934005899911481,0.9436994446745095,0.9344239723621048,0.9531610094284755,0.9250885145530015,0.6718864322537782,0.6586786311991725
dice_ce,Dice+CE,0,2,Ghana_167233,0.0,0.0,0.0,0.0,0.9940574358578093,7.653012417012647e-06,0.005934911129393307
dice_ce,Dice+CE,0,3,Ghana_313799,0.9109007040433248,0.9533730919079262,0.9424767646201648,0.9645244215814328,0.9964960688178784,0.03800858319927057,0.03713976102616491
dice_ce,Dice+CE,0,4,Ghana_319168,0.0003604902667498021,0.0007207206486226767,0.0003604902667498021,0.9999999000000099,0.9815792795120258,0.018427363372459926,6.642885137873081e-06
dice_ce,Dice+CE,0,5,Ghana_359826,0.45194388944294883,0.6225362538095585,0.5119409670638849,0.7940832297199075,0.8499604004393843,0.24168266792777496,0.15581144911598968
dice_ce,Dice+CE,1,0,Ghana_1078550,0.7615521162679271,0.8646375724714866,0.9754165334435488,0.7764549516408109,0.9023922249839318,0.31959535406519296,0.4014896056859339
dice_ce,Dice+CE,1,1,Ghana_141271,0.8784448193902414,0.9352894089457108,0.9434049269012065,0.9273124237910871,0.9154801651707152,0.6474429596239077,0.6586786311991725
dice_ce,Dice+CE,1,2,Ghana_167233,0.0,0.0,0.0,0.0,0.9940650888702263,0.0,0.005934911129393307
dice_ce,Dice+CE,1,3,Ghana_313799,0.8965910530871044,0.945476363269393,0.9845532980658982,0.9093830334073344,0.9961046214651607,0.03430415459306183,0.03713976102616491
dice_ce,Dice+CE,1,4,Ghana_319168,8.971828458559376e-05,0.00017942045393218423,8.971828458559376e-05,0.9999999000000099,0.9259650451377894,0.07404159774673336,6.642885137873081e-06
dice_ce,Dice+CE,1,5,Ghana_359826,0.3803237549917288,0.5510645197678669,0.4239672189270819,0.7869889563344292,0.8002073991346212,0.2892249311993254,0.15581144911598968
dice_ce,Dice+CE,2,0,Ghana_1078550,0.8214594828496661,0.9019793689196658,0.9496576092024963,0.8588597929957048,0.9250542139254004,0.36310273964826234,0.4014896056859339
dice_ce,Dice+CE,2,1,Ghana_141271,0.8845457326394098,0.9387362378310127,0.9550354722359036,0.9229841103650192,0.9206480694993059,0.6365731201695443,0.6586786311991725
